1: Goal reached in 2192 iterations (5.14 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 2910 iterations (6.85 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 4173 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 4213 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 613 iterations (1.33 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 490 iterations (1.05 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 523 iterations (1.13 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 594 iterations (1.26 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 629 iterations (1.35 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 551 iterations (1.22 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 503 iterations (1.13 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 504 iterations (1.13 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 527 iterations (1.12 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 494 iterations (1.10 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 514 iterations (1.10 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 504 iterations (1.09 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 483 iterations (0.96 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 439 iterations (0.87 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.85 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 424 iterations (0.85 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.85 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.85 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 427 iterations (0.86 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.84 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 855 iterations (1.86 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.5000, 0.0500])
1: Goal reached in 1238 iterations (2.90 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 2568 iterations (6.03 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 778 iterations (1.72 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 1274 iterations (2.92 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 479 iterations (1.07 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 567 iterations (1.21 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 549 iterations (1.18 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
