1: Goal reached in 608 iterations (1.01 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 5884 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 6141 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 6181 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 6191 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 884 iterations (1.44 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 669 iterations (1.08 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 631 iterations (1.02 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 550 iterations (0.88 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 509 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 528 iterations (0.85 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 491 iterations (0.79 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 448 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 424 iterations (0.69 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.68 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.69 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
0: Goal not reached in 6175 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 6196 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 6176 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 6187 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 6203 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 6198 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
0: Goal not reached in 6196 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 696 iterations (1.12 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 639 iterations (1.03 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 626 iterations (1.01 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 584 iterations (0.94 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 548 iterations (0.90 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 507 iterations (0.85 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 445 iterations (0.74 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 434 iterations (0.75 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.3000, 0.0500])
0: Goal not reached in 6019 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 5994 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 6017 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 6040 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 6030 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 563 iterations (0.93 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 555 iterations (0.91 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 565 iterations (0.94 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 586 iterations (0.97 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 572 iterations (0.95 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 529 iterations (0.88 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 504 iterations (0.84 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 472 iterations (0.79 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 441 iterations (0.73 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 435 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 431 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 427 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 501 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 654 iterations (1.08 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 6039 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 6027 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 6009 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 483 iterations (0.80 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 497 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 547 iterations (0.90 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 536 iterations (0.88 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 508 iterations (0.85 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 506 iterations (0.84 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 495 iterations (0.82 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 481 iterations (0.80 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 456 iterations (0.76 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 443 iterations (0.74 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 438 iterations (0.73 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 433 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 430 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 510 iterations (0.84 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 536 iterations (0.88 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 545 iterations (0.91 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 563 iterations (0.94 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 563 iterations (0.94 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 474 iterations (0.79 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 464 iterations (0.78 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 465 iterations (0.78 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 466 iterations (0.77 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 490 iterations (0.81 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 500 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 479 iterations (0.80 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 469 iterations (0.78 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 444 iterations (0.74 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 440 iterations (0.73 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 436 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 433 iterations (0.73 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 430 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (0.73 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.71 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 513 iterations (0.85 seconds). Obs: 20, Top obs: tensor([0.8000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 490 iterations (0.82 seconds). Obs: 20, Top obs: tensor([0.8000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 476 iterations (0.81 seconds). Obs: 20, Top obs: tensor([0.8000, 0.0000, 1.2000, 0.0500])
