1: Goal reached in 1018 iterations (2.34 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9129,  0.0500])
1: Goal reached in 771 iterations (1.77 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8634,  0.0500])
0: Goal not reached in 4249 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9489,  0.0500])
1: Goal reached in 965 iterations (2.21 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8432,  0.0500])
1: Goal reached in 1381 iterations (3.21 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8498,  0.0500])
1: Goal reached in 999 iterations (2.28 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9161,  0.0500])
1: Goal reached in 1118 iterations (2.58 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9291,  0.0500])
1: Goal reached in 2424 iterations (5.61 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7554,  0.0500])
1: Goal reached in 1330 iterations (3.03 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9474,  0.0500])
1: Goal reached in 844 iterations (1.95 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9446,  0.0500])
1: Goal reached in 760 iterations (1.74 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.9058,  0.0500])
1: Goal reached in 781 iterations (1.81 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8667,  0.0500])
