1: Goal reached in 430 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 433 iterations (0.79 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 439 iterations (0.79 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 434 iterations (0.79 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 446 iterations (0.87 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 475 iterations (0.91 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 439 iterations (0.86 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 431 iterations (0.78 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 426 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 426 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 430 iterations (0.78 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 427 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 432 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 438 iterations (0.79 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 453 iterations (0.82 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 529 iterations (1.03 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 499 iterations (0.97 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 448 iterations (0.81 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 438 iterations (0.79 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
