1: Goal reached in 434 iterations (1.98 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 504 iterations (2.50 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 512 iterations (2.55 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 542 iterations (2.67 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 534 iterations (2.69 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 578 iterations (2.87 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 479 iterations (2.37 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 471 iterations (2.31 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 437 iterations (2.12 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 428 iterations (2.20 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 423 iterations (2.16 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (2.11 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (2.11 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (2.12 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 428 iterations (2.04 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 439 iterations (2.09 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 479 iterations (2.30 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 504 iterations (2.47 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 551 iterations (2.83 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 664 iterations (3.18 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 612 iterations (2.94 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 492 iterations (2.37 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 480 iterations (2.37 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 472 iterations (2.35 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 464 iterations (2.23 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 431 iterations (2.01 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (2.03 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (2.03 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (1.96 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (2.02 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (1.86 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 431 iterations (1.90 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 437 iterations (2.01 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 448 iterations (2.05 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 525 iterations (2.46 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
