0: Goal not reached in 822 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 842 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 837 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 802 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 816 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 586 iterations (6.88 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 632 iterations (7.22 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 431 iterations (4.94 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
0: Goal not reached in 822 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
0: Goal not reached in 790 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
0: Goal not reached in 798 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
0: Goal not reached in 807 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
0: Goal not reached in 809 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
0: Goal not reached in 796 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 642 iterations (8.08 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 501 iterations (6.39 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 453 iterations (5.66 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 429 iterations (5.35 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 249 iterations (3.08 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 222 iterations (2.73 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 423 iterations (5.17 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 228 iterations (2.86 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 453 iterations (5.72 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
0: Goal not reached in 807 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 835 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 877 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 909 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 742 iterations (8.36 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 482 iterations (6.07 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 540 iterations (6.88 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 435 iterations (5.40 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 482 iterations (5.62 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 591 iterations (7.18 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 447 iterations (5.79 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
0: Goal not reached in 786 iterations (10.01 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 542 iterations (6.99 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 468 iterations (6.02 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 389 iterations (4.86 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 222 iterations (2.68 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 385 iterations (4.73 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 408 iterations (4.85 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 389 iterations (4.67 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 409 iterations (5.04 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 440 iterations (5.38 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 495 iterations (6.23 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 469 iterations (5.98 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 744 iterations (9.45 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 549 iterations (6.92 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 500 iterations (6.10 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 509 iterations (6.28 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 566 iterations (7.01 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 556 iterations (6.80 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.1500, 0.0500])
