1: Goal reached in 583 iterations (1.23 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 1079 iterations (2.58 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 767 iterations (1.80 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 922 iterations (2.13 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 625 iterations (1.36 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 529 iterations (1.21 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 542 iterations (1.16 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 525 iterations (1.10 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 483 iterations (1.02 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 509 iterations (0.99 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 528 iterations (1.04 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 460 iterations (0.96 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 448 iterations (0.88 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (0.85 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 425 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 424 iterations (0.84 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.84 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.83 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 756 iterations (1.64 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 780 iterations (1.66 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 595 iterations (1.30 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 935 iterations (2.10 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 1256 iterations (2.86 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 512 iterations (1.12 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 525 iterations (1.19 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 501 iterations (1.04 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 601 iterations (1.29 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 506 iterations (1.06 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 554 iterations (1.14 seconds). Obs: 20, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
