0: Goal not reached in 5831 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 650 iterations (1.30 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 434 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 504 iterations (0.86 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 512 iterations (0.86 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 542 iterations (0.92 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 534 iterations (0.91 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 578 iterations (0.99 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 479 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 471 iterations (0.81 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 437 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 428 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 423 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 428 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 438 iterations (0.76 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 479 iterations (0.83 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 504 iterations (0.87 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 551 iterations (0.94 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 664 iterations (1.15 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 612 iterations (1.05 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 492 iterations (0.85 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 480 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 472 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 464 iterations (0.80 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 431 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 431 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 437 iterations (0.76 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 448 iterations (0.78 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 525 iterations (0.91 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 603 iterations (1.04 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 536 iterations (0.93 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 507 iterations (0.88 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 496 iterations (0.86 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 457 iterations (0.79 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 439 iterations (0.76 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 426 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 428 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 431 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 437 iterations (0.76 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 452 iterations (0.78 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 471 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 473 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 486 iterations (0.84 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 470 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 456 iterations (0.79 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 449 iterations (0.78 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 447 iterations (0.77 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 436 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 430 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 428 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 426 iterations (0.74 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 429 iterations (0.73 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 434 iterations (0.75 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 448 iterations (0.78 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 461 iterations (0.80 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 475 iterations (0.82 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 469 iterations (0.81 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 466 iterations (0.81 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 460 iterations (0.80 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
