1: Goal reached in 532 iterations (1.17 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 412 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 414 iterations (0.88 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 410 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 432 iterations (0.91 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 399 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 409 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 458 iterations (0.97 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 410 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 380 iterations (0.79 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 353 iterations (0.70 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 325 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 318 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 312 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 458 iterations (0.96 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.4000, 0.0500])
