1: Goal reached in 1620 iterations (3.76 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7711,  0.0500])
1: Goal reached in 570 iterations (1.32 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8390,  0.0500])
1: Goal reached in 1153 iterations (2.65 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7730,  0.0500])
1: Goal reached in 2153 iterations (5.10 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7501,  0.0500])
1: Goal reached in 887 iterations (2.05 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7560,  0.0500])
1: Goal reached in 1139 iterations (2.68 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8584,  0.0500])
1: Goal reached in 888 iterations (2.09 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7953,  0.0500])
1: Goal reached in 982 iterations (2.27 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7752,  0.0500])
1: Goal reached in 1156 iterations (2.73 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7874,  0.0500])
1: Goal reached in 2196 iterations (5.13 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7504,  0.0500])
0: Goal not reached in 4345 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.7500,  0.0500])
