1: Goal reached in 430 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 433 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 439 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 434 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 444 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 471 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 504 iterations (0.82 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 431 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 426 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 426 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 430 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 427 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 432 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 438 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 453 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 522 iterations (0.85 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 477 iterations (0.78 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 448 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 438 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 426 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 427 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 431 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 440 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 455 iterations (0.75 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 654 iterations (1.07 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 478 iterations (0.78 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 449 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 433 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 430 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 427 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 426 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 429 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 432 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 440 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 469 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 465 iterations (0.76 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 448 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 440 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 435 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 432 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 428 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 426 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 426 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 427 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 429 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 433 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 439 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 470 iterations (0.77 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 452 iterations (0.74 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 444 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 440 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 435 iterations (0.72 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 432 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 428 iterations (0.69 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.71 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 8, Top obs: tensor([0.8000, 0.0000, 1.0000, 0.0500])
