1: Goal reached in 525 iterations (0.86 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 586 iterations (0.95 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 613 iterations (0.99 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 831 iterations (1.34 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
0: Goal not reached in 6211 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 596 iterations (0.97 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 526 iterations (0.85 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 503 iterations (0.82 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 494 iterations (0.80 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 483 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 450 iterations (0.73 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 438 iterations (0.71 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (0.68 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 426 iterations (0.68 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 425 iterations (0.69 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 533 iterations (0.86 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 6202 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 6215 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 6203 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 1032 iterations (1.66 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 668 iterations (1.08 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 606 iterations (0.99 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 581 iterations (0.95 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 569 iterations (0.92 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 558 iterations (0.90 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 515 iterations (0.83 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 447 iterations (0.72 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
