0: Goal not reached in 783 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 764 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 824 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 812 iterations (10.01 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 562 iterations (7.23 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
0: Goal not reached in 731 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
0: Goal not reached in 757 iterations (10.00 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
0: Goal not reached in 789 iterations (10.01 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
0: Goal not reached in 761 iterations (10.01 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
0: Goal not reached in 799 iterations (10.01 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 547 iterations (7.06 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 271 iterations (3.58 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 474 iterations (6.22 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 545 iterations (6.81 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 539 iterations (6.73 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 549 iterations (6.77 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 419 iterations (5.14 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 449 iterations (5.66 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 530 iterations (6.74 seconds). Obs: 16, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 574 iterations (8.31 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 465 iterations (6.52 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 748 iterations (10.01 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 753 iterations (10.01 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 564 iterations (7.37 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 495 iterations (6.98 seconds). Obs: 16, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
