0: Goal not reached in 4363 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 1117 iterations (2.61 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 1096 iterations (2.52 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 1231 iterations (2.77 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 544 iterations (1.17 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 583 iterations (1.25 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 563 iterations (1.22 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 576 iterations (1.22 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 526 iterations (1.12 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 519 iterations (1.10 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 500 iterations (1.10 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 548 iterations (1.09 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 536 iterations (1.07 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 467 iterations (0.99 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 439 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.86 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 424 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 426 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 1072 iterations (2.34 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 741 iterations (1.61 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 792 iterations (1.81 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 823 iterations (1.84 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 784 iterations (1.78 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 541 iterations (1.20 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 523 iterations (1.11 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 517 iterations (1.14 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 543 iterations (1.14 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 561 iterations (1.21 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 534 iterations (1.18 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 518 iterations (1.14 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 531 iterations (1.14 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 542 iterations (1.14 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 517 iterations (1.08 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 447 iterations (0.88 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 435 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 697 iterations (1.49 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 768 iterations (1.64 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 652 iterations (1.40 seconds). Obs: 24, Top obs: tensor([0.5000, 0.0000, 1.3000, 0.0500])
