0: Goal not reached in 5969 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4500, 0.0500])
0: Goal not reached in 6005 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 5994 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 5987 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 6018 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 5965 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 5975 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 5988 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 5981 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 950 iterations (1.59 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 695 iterations (1.13 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 607 iterations (1.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 567 iterations (0.95 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 549 iterations (0.92 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 575 iterations (0.96 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 535 iterations (0.89 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 483 iterations (0.81 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 439 iterations (0.73 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.71 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 424 iterations (0.71 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
