1: Goal reached in 310 iterations (0.42 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.41 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.42 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.41 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.41 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.42 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
1: Goal reached in 310 iterations (0.57 seconds). Obs: 1, Top obs: tensor([   10.3000,     0.0000,     0.0000,     0.0100])
0: Goal not reached in 5509 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5550 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 5545 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
0: Goal not reached in 4368 iterations (10.00 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 869 iterations (1.96 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 793 iterations (1.82 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 1075 iterations (2.52 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 770 iterations (1.77 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 2035 iterations (4.71 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 736 iterations (1.69 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 1306 iterations (3.01 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
1: Goal reached in 1244 iterations (2.84 seconds). Obs: 60, Top obs: tensor([ 0.4000, -0.4000,  0.8500,  0.0500])
