1: Goal reached in 306 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 310 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 316 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 324 iterations (0.58 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 335 iterations (0.60 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 371 iterations (0.73 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 397 iterations (0.75 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 339 iterations (0.66 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 323 iterations (0.60 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 313 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 308 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 307 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 312 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 319 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 333 iterations (0.60 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 437 iterations (0.85 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 353 iterations (0.68 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 328 iterations (0.59 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 319 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 312 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 307 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 308 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 312 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 320 iterations (0.58 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 336 iterations (0.60 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 356 iterations (0.68 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 362 iterations (0.68 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 329 iterations (0.59 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 314 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 310 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 307 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 306 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 308 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 313 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 320 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 338 iterations (0.64 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 346 iterations (0.62 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 328 iterations (0.59 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 320 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 316 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 312 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 309 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 306 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.54 seconds). Obs: 8, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 306 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 308 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 310 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 313 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 319 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 350 iterations (0.63 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 332 iterations (0.59 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 325 iterations (0.58 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 320 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 315 iterations (0.57 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 311 iterations (0.56 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 309 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 307 iterations (0.55 seconds). Obs: 8, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
