1: Goal reached in 434 iterations (1.98 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 504 iterations (2.70 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 512 iterations (2.71 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 540 iterations (3.09 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 455 iterations (2.53 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 481 iterations (2.46 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 479 iterations (2.38 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 471 iterations (2.37 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 437 iterations (2.16 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 428 iterations (2.21 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 423 iterations (2.07 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 423 iterations (1.53 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (2.09 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (2.24 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 428 iterations (2.29 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 439 iterations (2.03 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 479 iterations (2.39 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 504 iterations (2.41 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 504 iterations (2.61 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 499 iterations (2.59 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 489 iterations (2.44 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 492 iterations (2.49 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 480 iterations (2.89 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 472 iterations (2.63 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 464 iterations (2.19 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 431 iterations (1.95 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 427 iterations (2.07 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 425 iterations (1.85 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (1.83 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (2.15 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (2.17 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 431 iterations (2.23 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 437 iterations (2.28 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 448 iterations (2.35 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 525 iterations (2.86 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 564 iterations (3.01 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 510 iterations (3.04 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 507 iterations (2.77 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 496 iterations (2.70 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 457 iterations (2.41 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 439 iterations (2.30 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 432 iterations (2.37 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (2.27 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 426 iterations (2.18 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 424 iterations (2.16 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (2.23 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (2.37 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 428 iterations (2.53 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 431 iterations (2.20 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 437 iterations (1.94 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 452 iterations (2.43 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 471 iterations (2.36 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 472 iterations (2.49 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 486 iterations (2.31 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 470 iterations (2.33 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 456 iterations (2.35 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 449 iterations (2.34 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 447 iterations (2.34 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 436 iterations (2.05 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 430 iterations (2.04 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 428 iterations (2.08 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 426 iterations (2.24 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (1.91 seconds). Obs: 12, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 429 iterations (2.08 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 434 iterations (2.23 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 448 iterations (2.18 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 461 iterations (2.44 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 475 iterations (2.53 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 475 iterations (2.63 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 466 iterations (2.33 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 460 iterations (2.31 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 450 iterations (2.30 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 443 iterations (2.31 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 443 iterations (2.44 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 442 iterations (2.09 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 432 iterations (2.16 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 429 iterations (2.19 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (2.22 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (2.10 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
