1: Goal reached in 315 iterations (0.62 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 321 iterations (0.63 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 359 iterations (0.70 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 371 iterations (0.72 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 426 iterations (0.89 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 368 iterations (0.78 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 537 iterations (1.13 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 363 iterations (0.70 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 344 iterations (0.67 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 323 iterations (0.63 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 316 iterations (0.63 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 311 iterations (0.61 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 307 iterations (0.60 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.60 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.60 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.60 seconds). Obs: 12, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 319 iterations (0.62 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 341 iterations (0.66 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 358 iterations (0.70 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 380 iterations (0.79 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 401 iterations (0.84 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 422 iterations (0.89 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 356 iterations (0.69 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 342 iterations (0.66 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 338 iterations (0.66 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 331 iterations (0.64 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 312 iterations (0.61 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 307 iterations (0.60 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 12, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 312 iterations (0.61 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 318 iterations (0.62 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 329 iterations (0.64 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 372 iterations (0.72 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 401 iterations (0.83 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 388 iterations (0.81 seconds). Obs: 12, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
