0: Goal not reached in 797 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.5000, 0.0500])
0: Goal not reached in 831 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4500, 0.0500])
0: Goal not reached in 823 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 840 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 845 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 607 iterations (7.30 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 578 iterations (6.80 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 764 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 423 iterations (5.46 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 857 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
0: Goal not reached in 835 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
0: Goal not reached in 868 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
0: Goal not reached in 854 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
0: Goal not reached in 843 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
0: Goal not reached in 822 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 627 iterations (7.36 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 490 iterations (5.85 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 476 iterations (6.01 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 443 iterations (5.54 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 224 iterations (2.81 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 242 iterations (3.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 614 iterations (7.89 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 443 iterations (5.95 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 225 iterations (3.09 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 431 iterations (5.93 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
0: Goal not reached in 744 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.5000, 0.0500])
0: Goal not reached in 760 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.4500, 0.0500])
0: Goal not reached in 746 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 774 iterations (10.01 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 498 iterations (6.45 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 542 iterations (7.15 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 447 iterations (5.72 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 501 iterations (6.38 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 335 iterations (4.24 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 595 iterations (7.64 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 613 iterations (7.92 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 463 iterations (5.94 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
0: Goal not reached in 779 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 371 iterations (4.74 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 262 iterations (3.31 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 393 iterations (5.04 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 455 iterations (5.86 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 414 iterations (5.36 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 505 iterations (6.68 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 513 iterations (6.60 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 525 iterations (6.73 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
