1: Goal reached in 520 iterations (5.07 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 300 iterations (3.01 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 435 iterations (4.23 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
0: Goal not reached in 811 iterations (10.01 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 425 iterations (7.15 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 453 iterations (5.75 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 439 iterations (5.36 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 463 iterations (5.69 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 468 iterations (5.62 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 424 iterations (5.26 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 428 iterations (5.32 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 439 iterations (4.98 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 415 iterations (4.98 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 450 iterations (5.28 seconds). Obs: 8, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 443 iterations (5.68 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 505 iterations (6.10 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 298 iterations (3.44 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 410 iterations (4.78 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 497 iterations (5.97 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 547 iterations (6.00 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 276 iterations (3.23 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 442 iterations (5.14 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 532 iterations (6.45 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 447 iterations (5.58 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 441 iterations (5.19 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 492 iterations (5.99 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 265 iterations (3.09 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 470 iterations (5.57 seconds). Obs: 8, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 266 iterations (2.98 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 398 iterations (4.63 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 262 iterations (3.04 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 364 iterations (4.31 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 443 iterations (5.35 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 423 iterations (5.06 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 448 iterations (5.33 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 384 iterations (4.44 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 420 iterations (5.07 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 444 iterations (5.34 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 219 iterations (2.59 seconds). Obs: 8, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
