1: Goal reached in 424 iterations (0.66 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.1019, 0.0500])
1: Goal reached in 424 iterations (0.67 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.3520, 0.0500])
1: Goal reached in 424 iterations (0.72 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.5734, 0.0500])
1: Goal reached in 424 iterations (0.63 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.7380, 0.0500])
1: Goal reached in 424 iterations (0.62 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.8487, 0.0500])
1: Goal reached in 424 iterations (0.63 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.8979, 0.0500])
1: Goal reached in 424 iterations (0.63 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.8816, 0.0500])
1: Goal reached in 424 iterations (0.63 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.8010, 0.0500])
1: Goal reached in 424 iterations (0.63 seconds). Obs: 6, Top obs: tensor([0.6000, 0.0000, 1.6614, 0.0500])
