1: Goal reached in 429 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 427 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 424 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.5000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 456 iterations (0.84 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 474 iterations (0.87 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 485 iterations (0.83 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 595 iterations (0.98 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 948 iterations (1.56 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 516 iterations (0.85 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 508 iterations (0.84 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 501 iterations (0.83 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 488 iterations (0.81 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 477 iterations (0.79 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 464 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 466 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 464 iterations (0.76 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 437 iterations (0.72 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 433 iterations (0.71 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 429 iterations (0.71 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (0.71 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 16, Top obs: tensor([0.6000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 461 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 484 iterations (0.80 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 489 iterations (0.81 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 505 iterations (0.83 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 508 iterations (0.84 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 470 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 460 iterations (0.76 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 485 iterations (0.80 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 490 iterations (0.81 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 468 iterations (0.77 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 458 iterations (0.75 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 454 iterations (0.75 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 445 iterations (0.73 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 435 iterations (0.72 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 432 iterations (0.71 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 430 iterations (0.71 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 427 iterations (0.70 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 425 iterations (0.70 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.70 seconds). Obs: 16, Top obs: tensor([0.7000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 442 iterations (0.73 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 473 iterations (0.78 seconds). Obs: 16, Top obs: tensor([0.8000, 0.0000, 1.1500, 0.0500])
