0: Goal not reached in 5669 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 5681 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 5696 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
0: Goal not reached in 5670 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
0: Goal not reached in 5657 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 5665 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
0: Goal not reached in 5676 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 922 iterations (1.62 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 681 iterations (1.21 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 598 iterations (1.05 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 548 iterations (0.96 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 517 iterations (0.91 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 548 iterations (0.98 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 536 iterations (0.95 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 483 iterations (0.85 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 439 iterations (0.77 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 428 iterations (0.76 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 424 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 425 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 424 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 426 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 424 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
0: Goal not reached in 5669 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 5673 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
0: Goal not reached in 5672 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
0: Goal not reached in 5677 iterations (10.00 seconds). Obs: 24, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
