1: Goal reached in 536 iterations (7.38 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 509 iterations (6.93 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 597 iterations (8.25 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 533 iterations (7.49 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 517 iterations (6.94 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 522 iterations (6.73 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 541 iterations (6.87 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 254 iterations (3.26 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 471 iterations (6.17 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 474 iterations (5.87 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 512 iterations (6.27 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 471 iterations (5.92 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 430 iterations (5.55 seconds). Obs: 20, Top obs: tensor([0.5000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 340 iterations (4.36 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 485 iterations (6.06 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 314 iterations (3.82 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 472 iterations (5.81 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 513 iterations (6.52 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 474 iterations (6.02 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 500 iterations (6.08 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 426 iterations (5.16 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 681 iterations (8.40 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 513 iterations (6.38 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 497 iterations (6.23 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 459 iterations (6.26 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 526 iterations (6.78 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 522 iterations (6.60 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 510 iterations (6.38 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 435 iterations (5.50 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 466 iterations (5.90 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 518 iterations (6.46 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 526 iterations (6.51 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 451 iterations (5.62 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 491 iterations (6.19 seconds). Obs: 20, Top obs: tensor([0.6000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 504 iterations (6.41 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 436 iterations (5.44 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 454 iterations (5.57 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.2000, 0.0500])
