0: Goal not reached in 4560 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.5000, 0.0500])
0: Goal not reached in 4407 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4500, 0.0500])
0: Goal not reached in 4514 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.4000, 0.0500])
0: Goal not reached in 4373 iterations (10.00 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 1296 iterations (2.93 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 491 iterations (1.03 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 447 iterations (0.91 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 506 iterations (1.05 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 488 iterations (1.02 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 444 iterations (0.92 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 491 iterations (1.02 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 419 iterations (0.87 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 461 iterations (0.97 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 421 iterations (0.86 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 365 iterations (0.77 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 389 iterations (0.80 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 384 iterations (0.73 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 360 iterations (0.72 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 325 iterations (0.63 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 314 iterations (0.60 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 308 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.3000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 752 iterations (1.60 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.5000, 0.0500])
1: Goal reached in 686 iterations (1.47 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 632 iterations (1.33 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 655 iterations (1.39 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 658 iterations (1.39 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 435 iterations (0.92 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 420 iterations (0.87 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 425 iterations (0.89 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 418 iterations (0.87 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 453 iterations (0.94 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 470 iterations (0.97 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 463 iterations (0.95 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 431 iterations (0.88 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 388 iterations (0.80 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 388 iterations (0.79 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 375 iterations (0.77 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 341 iterations (0.70 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 328 iterations (0.63 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 315 iterations (0.60 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 309 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 306 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.4000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 578 iterations (1.19 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.5000, 0.0500])
1: Goal reached in 578 iterations (1.19 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 598 iterations (1.22 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 544 iterations (1.15 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 548 iterations (1.15 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 420 iterations (0.88 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 380 iterations (0.76 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 375 iterations (0.77 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 443 iterations (0.88 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 386 iterations (0.79 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 436 iterations (0.91 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 415 iterations (0.83 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 555 iterations (1.12 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 420 iterations (0.86 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 431 iterations (0.88 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 397 iterations (0.76 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 356 iterations (0.68 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 326 iterations (0.62 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 318 iterations (0.61 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 312 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 308 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.5000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 439 iterations (0.89 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.5000, 0.0500])
1: Goal reached in 459 iterations (0.92 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 482 iterations (0.98 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 513 iterations (1.02 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 430 iterations (0.88 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 435 iterations (0.89 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 396 iterations (0.81 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 385 iterations (0.75 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 376 iterations (0.76 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 364 iterations (0.74 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 393 iterations (0.78 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 395 iterations (0.80 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 433 iterations (0.86 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 425 iterations (0.87 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 418 iterations (0.84 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 400 iterations (0.82 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 349 iterations (0.67 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 331 iterations (0.63 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 326 iterations (0.62 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 319 iterations (0.60 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 314 iterations (0.60 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 310 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 307 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.58 seconds). Obs: 28, Top obs: tensor([0.6000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 406 iterations (0.76 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.5000, 0.0500])
1: Goal reached in 372 iterations (0.76 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 387 iterations (0.79 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 410 iterations (0.85 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 422 iterations (0.85 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 352 iterations (0.66 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 346 iterations (0.66 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 345 iterations (0.66 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 352 iterations (0.68 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 368 iterations (0.73 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 357 iterations (0.67 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 364 iterations (0.70 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 360 iterations (0.69 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 361 iterations (0.72 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 373 iterations (0.74 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 351 iterations (0.67 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 332 iterations (0.68 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 325 iterations (0.62 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 321 iterations (0.61 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 317 iterations (0.60 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 314 iterations (0.60 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 311 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 308 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 306 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 28, Top obs: tensor([0.7000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 342 iterations (0.65 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.5000, 0.0500])
1: Goal reached in 351 iterations (0.67 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.4500, 0.0500])
1: Goal reached in 357 iterations (0.68 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 360 iterations (0.69 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 357 iterations (0.68 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 345 iterations (0.66 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 347 iterations (0.67 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 324 iterations (0.62 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 321 iterations (0.61 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 324 iterations (0.62 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 330 iterations (0.63 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 337 iterations (0.64 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 344 iterations (0.66 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 340 iterations (0.65 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 347 iterations (0.66 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 335 iterations (0.64 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 335 iterations (0.64 seconds). Obs: 28, Top obs: tensor([0.8000, 0.0000, 0.7000, 0.0500])
