1: Goal reached in 390 iterations (0.86 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 471 iterations (1.03 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 564 iterations (1.20 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 1203 iterations (2.82 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1500, 0.0500])
0: Goal not reached in 4266 iterations (10.00 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 456 iterations (0.97 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 453 iterations (0.93 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 455 iterations (0.94 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 400 iterations (0.82 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 409 iterations (0.86 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 377 iterations (0.72 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 383 iterations (0.79 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 357 iterations (0.69 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 333 iterations (0.64 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 320 iterations (0.62 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 313 iterations (0.60 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 308 iterations (0.59 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.59 seconds). Obs: 20, Top obs: tensor([0.3000, 0.0000, 0.3500, 0.0500])
